Folio,Sector al que pertenece la empresa,Productos o servicios que produce o comercializa,Número de empleados,Entidad Federativa,Ciudad o Municipio,1. ¿Usted importa o utiliza alguno de los siguientes productos que sabe vienen del extranjero?,2. ¿Cómo adquiere las materias primas o productos que provienen del extranjero?,3. Si el peso se devaluará o su proveedor le subiera los precios ¿Cuál de las siguientes expresiones se acercaría más a la conducta que tomaría? ,4. Suponga que el tipo de cambio está hoy en 20.00 pesos por dólar o que usted compra materia prima a su proveedor a un costo de 20.00 por pieza ¿Cuánto debería devaluarse el peso o cuánto deberían subirle el precio sus proveedores para que usted decida subir sus precios?,5. Una vez que la devaluación o el aumento del precio de sus proveedores ha afectado sus costos ¿Cuánto tiempo tendría que pasar para que usted decida subir sus precios?,6. Una vez que usted decide subir sus precios ¿en qué porcentaje decide subirlos?,7. Si usted sube sus precios en un 10% como consecuencia de la devaluación o de que sus proveedores subieron sus precios ¿considera que sus ventas? ,8. Si usted sube sus precios por la devaluación o porque los proveedores le subieron precios ¿cuánto tiempo considera que tendría que pasar para que se vea reflejada una caída en sus ventas?,9. ¿Ha tenido que sacrificar ganancia ofreciendo precios más bajos a cambio de seguir vendiendo?,10. Cuando tiene que bajar sus precios para no perder ventas ¿utiliza alguna de las siguientes estrategias para aumentar sus ventas?,11. Del 1 al 4 qué capacidad considera que tiene su negocio para influir en el precio de los productos de la industria a la que pertenece. ,12. ¿Cuál de las siguientes expresiones se asemeja a su forma de actuar?,"13. Considerando el potencial que tiene su negocio para producir (agroindustria y sector industrial) o generar ventas (sector servicios y comercio), usando al máximo su maquinaria, mobiliario y equipo y siendo eficiente su personal en lo más posible ¿qué porcentaje en promedio de su capacidad ha utilizado en el último año?",14. En qué porcentaje promedio considera que ha ocupado el potencial de Maquinaria y Equipo de su empresa,15. ¿En qué porcentaje promedio considera que ha ocupado el potencial del personal de su empresa?,16. ¿Cuál es la razón del por qué no utiliza toda su capacidad?,17. Usted estaría dispuesto a subir los salarios de su personal solo si:,18. La razón del por qué no invierto más en mi negocio es:,19. Cuál de las siguientes expresiones se acerca más a usted:
150,Industria,piezas metalicas para la industria en general,PEQUEÑA,Nuevo León,MONTERREY,Todo lo que utilizo se produce en México,Mi proveedor u otra empresa los importa,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,Más del 15% (pasar de 20.00 a más de 23),Entre 1 mes y 3 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Menos de un mes,Sí,Busca diferenciarse de la competencia,2,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,100%-75%,100%-75%,No lo demanda el mercado,Aumentan su productividad,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés no influiría en mi decisión para pedir créditos e invertir más
151,Industria,Muebles y productos de madera sobre diseño,MICRO,Ciudad de México,IZTACALCO,Materia prima para la producción,Mi proveedor u otra empresa los importa,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,"10%, pasar de 20.00 a 22",Menos de 1 mes,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Entre 1 y 3 meses,Sí,Busca diferenciarse de la competencia,1,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",100%-75%,100%-75%,74%-50%,No tiene el dinero suficiente para producir más,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
152,Comercio al por menor,"Elaboración y venta de pan, pasteles y canapé",MICRO,Jalisco,GUADALAJARA,Todo lo que utilizo se produce en México,Mi proveedor u otra empresa los importa,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,"5%, es decir pasar de 20.00 a 21",Entre 1 mes y 3 meses,Un porcentaje mayor al de la devaluación o al que le subió el precio el proveedor,Se quedarán igual,No caerán,No,Mejora sus estrategias de publicidad,1,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,100%-75%,100%-75%,Como estrategia por si llegaran pedidos extraordinarios,Si el salario mínimo aumenta,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
153,Industria,Construcción de muebles e inmuebles,MEDIANA,Ciudad de México,GUSTAVO A MADERO,Todo lo que utilizo se produce en México,Mi proveedor u otra empresa los importa,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,"5%, es decir pasar de 20.00 a 21",De inmediato,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Se quedarán igual,Más de 6 meses,No,Busca diferenciarse de la competencia,3,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",100%-75%,100%-75%,100%-75%,No lo demanda el mercado,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés no influiría en mi decisión para pedir créditos e invertir más
154,Industria,Productos Medicos,GRANDE,Coahuila,CD ACUÑA,Materia prima para la producción,Mi empresa los importa (incluye a través de agencias aduanales),Solo si mi competencia los sube yo también los subiré,"5%, es decir pasar de 20.00 a 21",Entre 1 mes y 3 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Se quedarán igual,Entre 1 y 3 meses,No,Busca diferenciarse de la competencia,2,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",100%-75%,100%-75%,74%-50%,No lo demanda el mercado,Aumentan su productividad,Tengo negocios fuera de México y prefiero invertir en ellos.,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
155,Servicios,SR,MICRO,Oaxaca,PROGRESO,Materia prima para la producción,Mi proveedor u otra empresa los importa,"No pienso en subirlos porque tengo inventarios, hasta que se agoten mis inventarios y haga compras nuevas decidiré subirlos","10%, pasar de 20.00 a 22",Entre 1 mes y 3 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Entre 1 y 3 meses,Sí,Busca diferenciarse de la competencia,1,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,100%-75%,100%-75%,No lo demanda el mercado,Aumentan su productividad,Creo que las ventas serán malas y será difícil recuperar la inversión,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
156,Servicios,PROYECTOS Y EJECUCIÓN DE OBRA ELÉCTRICA ,MICRO,San Luis Potosí,SAN LUIS POTOSI,Productos finales,Mi proveedor u otra empresa los importa,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,"5%, es decir pasar de 20.00 a 21",De inmediato,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Menos de un mes,No,Busca diferenciarse de la competencia,2,Si no tengo inventarios y hay un aumento temporal de la demanda subo mis precios,100%-75%,100%-75%,100%-75%,SR,Aumentan su productividad,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
157,Servicios,Puertos turisticos,GRANDE,Quintana Roo,MAHAHUAL,Productos finales,Mi empresa los importa (incluye a través de agencias aduanales),"No pienso en subirlos, prefiero ganar menos por producto, pero no perder ventas",15% pasar de 20.00 a 23,Entre 1 mes y 3 meses,Un porcentaje menor al de la devaluación o al que le subió el precio el proveedor,Se quedarán igual,Entre 1 y 3 meses,No,Busca diferenciarse de la competencia,3,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,100%-75%,100%-75%,No lo demanda el mercado,Aumentan su productividad,Tengo negocios fuera de México y prefiero invertir en ellos.,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
158,Servicios,"Estudios, Proyectos, Dictamenes, Supervisión de obra, construcción de obra Civil, Naves Estructuras, Puentes, Caminos, etc.",MEDIANA,Querétaro,QUERETARO,Productos finales,Mi empresa los importa (incluye a través de agencias aduanales),Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,Menos de un 5% (pasar de 20.00 a menos de 21),De inmediato,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Menos de un mes,Sí,Ofrece crédito,1,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,100%-75%,74%-50%,No lo demanda el mercado,Aumentan su productividad,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
159,Servicios,servicios de construcción,PEQUEÑA,Oaxaca,TUTLA,Todo lo que utilizo se produce en México,SR,Solo si mi competencia los sube yo también los subiré,"5%, es decir pasar de 20.00 a 21",Entre 6 y 12 meses,Un porcentaje menor al de la devaluación o al que le subió el precio el proveedor,Bajarán,Más de 6 meses,Sí,Busca diferenciarse de la competencia,2,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,74%-50%,100%-75%,100%-75%,No lo demanda el mercado,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
160,Servicios,Construcción de infraestructura e instalaciones,PEQUEÑA,San Luis Potosí,SAN LUIS POTOSI,Todo lo que utilizo se produce en México,Mi proveedor u otra empresa los importa,Voy a subir mis precios de inmediato para no tener pérdidas,"5%, es decir pasar de 20.00 a 21",De inmediato,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Entre 1 y 3 meses,Sí,Mejora sus estrategias de publicidad,1,Si no tengo inventarios y hay un aumento temporal de la demanda subo mis precios,100%-75%,100%-75%,100%-75%,No tiene el dinero suficiente para producir más,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
161,Servicios,Instalaciones Eléctricas,MEDIANA,Querétaro,CORREGIDORA,Productos finales,Mi proveedor u otra empresa los importa,Voy a subir mis precios de inmediato para no tener pérdidas,"5%, es decir pasar de 20.00 a 21",Entre 1 mes y 3 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Entre 1 y 3 meses,Sí,Busca diferenciarse de la competencia,2,"Si hay un aumento temporal de la demanda subo mis precios, aunque tenga inventarios",100%-75%,100%-75%,100%-75%,No lo demanda el mercado,Aumentan su productividad,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés no influiría en mi decisión para pedir créditos e invertir más
162,Servicios,SR,PEQUEÑA,Tamaulipas,MATAMOROS,Todo lo que utilizo se produce en México,Mi proveedor u otra empresa los importa,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,15% pasar de 20.00 a 23,Entre 1 mes y 3 meses,Un porcentaje menor al de la devaluación o al que le subió el precio el proveedor,Bajarán,"Más de 3, pero menos de 6",Sí,Busca diferenciarse de la competencia,1,Si no tengo inventarios y hay un aumento temporal de la demanda subo mis precios,100%-75%,100%-75%,49%-25%,No tiene el dinero suficiente para producir más,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
163,Servicios,Construcción ,PEQUEÑA,Zacatecas,JERERZ,Materia prima para la producción,Mi proveedor u otra empresa los importa,Voy a subir mis precios de inmediato para no tener pérdidas,"10%, pasar de 20.00 a 22",Entre 1 mes y 3 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Se quedarán igual,"Más de 3, pero menos de 6",Sí,Mejora sus estrategias de publicidad,2,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,100%-75%,100%-75%,No tiene el dinero suficiente para producir más,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
164,Servicios,Mantenimiento,MICRO,Tamaulipas,RIO BRAVO,Todo lo que utilizo se produce en México,Mi proveedor u otra empresa los importa,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,Menos de un 5% (pasar de 20.00 a menos de 21),Entre 1 mes y 3 meses,Un porcentaje menor al de la devaluación o al que le subió el precio el proveedor,Bajarán,Menos de un mes,Sí,Busca diferenciarse de la competencia,3,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",100%-75%,100%-75%,100%-75%,No lo demanda el mercado,Si el salario mínimo aumenta,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
165,Industria,"mezcla asfáltica, construcción de carreteras ",MEDIANA,Veracruz,XALAPA,Todo lo que utilizo se produce en México,Mi proveedor u otra empresa los importa,Solo si mi competencia los sube yo también los subiré,"10%, pasar de 20.00 a 22",Entre 1 mes y 3 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Entre 1 y 3 meses,No,Busca diferenciarse de la competencia,3,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,100%-75%,74%-50%,No lo demanda el mercado,No estoy dispuesto a subir su salario,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
166,Industria,Servicios de Ingeniería Electrica,MICRO,Tamaulipas,NUEVO LAREDO,Todo lo que utilizo se produce en México,Mi proveedor u otra empresa los importa,Voy a subir mis precios de inmediato para no tener pérdidas,Menos de un 5% (pasar de 20.00 a menos de 21),De inmediato,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Menos de un mes,No,Busca diferenciarse de la competencia,2,"Si hay un aumento temporal de la demanda subo mis precios, aunque tenga inventarios",100%-75%,100%-75%,100%-75%,No lo demanda el mercado,Aumentan su productividad,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
167,Comercio al por menor,Pinturas vinílicas y esmaltes,PEQUEÑA,Aguascalientes,AGUASCALIENTES,Todo lo que utilizo se produce en México,Mi proveedor u otra empresa los importa,"No pienso en subirlos, prefiero ganar menos por producto, pero no perder ventas",Más del 15% (pasar de 20.00 a más de 23),Entre 6 y 12 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Entre 1 y 3 meses,Sí,Busca diferenciarse de la competencia,1,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,100%-75%,100%-75%,No lo demanda el mercado,Si el salario mínimo aumenta,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
168,Industria,Uniformes empresariales-escolares-multiestilos,PEQUEÑA,Aguascalientes,AGUASCALIENTES,Materia prima para la producción,Mi proveedor u otra empresa los importa,Voy a subir mis precios de inmediato para no tener pérdidas,"5%, es decir pasar de 20.00 a 21",De inmediato,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Entre 1 y 3 meses,Sí,Busca diferenciarse de la competencia,1,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,100%-75%,100%-75%,No lo demanda el mercado,Aumentan su productividad,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
169,Industria,Productos Lacteos,PEQUEÑA,Aguascalientes,ARTEAGA,Materia prima para la producción,Mi proveedor u otra empresa los importa,"No pienso en subirlos, prefiero ganar menos por producto, pero no perder ventas",15% pasar de 20.00 a 23,Menos de 1 mes,Un porcentaje mayor al de la devaluación o al que le subió el precio el proveedor,Bajarán,Menos de un mes,Sí,No ha usado ninguna estrategia,2,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,100%-75%,74%-50%,Como estrategia por si llegaran pedidos extraordinarios,Si el salario mínimo aumenta,SR,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
170,Servicios,impresión de articulos promocionales,MICRO,Aguascalientes,AGUASCALIENTES,Productos finales,Mi proveedor u otra empresa los importa,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,Menos de un 5% (pasar de 20.00 a menos de 21),Menos de 1 mes,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Se quedarán igual,No caerán,Sí,Mejora sus estrategias de publicidad,1,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,100%-75%,100%-75%,Como estrategia por si llegaran pedidos extraordinarios,Aumentan su productividad,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
171,Industria,Estatores para motores electricos y embobinado para la exportacion,MEDIANA,Baja California,TIJUANA,Materia prima para la producción,Mi empresa los importa (incluye a través de agencias aduanales),Solo si mi competencia los sube yo también los subiré,"5%, es decir pasar de 20.00 a 21",Menos de 1 mes,Un porcentaje mayor al de la devaluación o al que le subió el precio el proveedor,Bajarán,Entre 1 y 3 meses,Sí,No ha usado ninguna estrategia,3,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,100%-75%,100%-75%,No tiene el dinero suficiente para producir más,Aumentan su productividad,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés no influiría en mi decisión para pedir créditos e invertir más
172,Industria,puertas industriales,MICRO,Coahuila,RAMOS ARIZPE,Materia prima para la producción,Mi proveedor u otra empresa los importa,"No pienso en subirlos porque tengo inventarios, hasta que se agoten mis inventarios y haga compras nuevas decidiré subirlos",Menos de un 5% (pasar de 20.00 a menos de 21),Entre 1 mes y 3 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Menos de un mes,Sí,Ofrece crédito,3,"Si hay un aumento temporal de la demanda subo mis precios, aunque tenga inventarios",100%-75%,100%-75%,100%-75%,Como estrategia por si llegaran pedidos extraordinarios,Aumentan su productividad,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
173,Industria,UNIFORMES ESCOLARES Y DEPORTIVOS,MICRO,Chiapas,MOTOZINTLA,Materia prima para la producción,Mi proveedor u otra empresa los importa,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,15% pasar de 20.00 a 23,Entre 6 y 12 meses,Un porcentaje menor al de la devaluación o al que le subió el precio el proveedor,Se quedarán igual,Más de 6 meses,No,Busca diferenciarse de la competencia,3,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,100%-75%,100%-75%,Como estrategia por si llegaran pedidos extraordinarios,Aumentan su productividad,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
174,Servicios,Cocinas,MICRO,Coahuila,SALTILLO,Materia prima para la producción,Mi proveedor u otra empresa los importa,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,"10%, pasar de 20.00 a 22",Entre 1 mes y 3 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Se quedarán igual,Más de 6 meses,Sí,No ha usado ninguna estrategia,3,Si no tengo inventarios y hay un aumento temporal de la demanda subo mis precios,100%-75%,100%-75%,74%-50%,No tiene el dinero suficiente para producir más,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
175,Servicios,luis alfredo razo villagran,MICRO,Chihuahua,CHIHUAHUA,Materia prima para la producción,Mi proveedor u otra empresa los importa,"No pienso en subirlos, prefiero ganar menos por producto, pero no perder ventas","10%, pasar de 20.00 a 22",Más de 3 y menos de 6 meses,Un porcentaje menor al de la devaluación o al que le subió el precio el proveedor,Bajarán,Más de 6 meses,Sí,Busca diferenciarse de la competencia,4,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",100%-75%,100%-75%,100%-75%,No lo demanda el mercado,Si el salario mínimo aumenta,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
176,Servicios,Reparación de daños de inmuebles ,MICRO,Nuevo León,ESCOBEDO,Todo lo que utilizo se produce en México,Mi proveedor u otra empresa los importa,"No pienso en subirlos porque tengo inventarios, hasta que se agoten mis inventarios y haga compras nuevas decidiré subirlos","10%, pasar de 20.00 a 22",Entre 1 mes y 3 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Se quedarán igual,No caerán,Sí,Mejora sus estrategias de publicidad,3,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,100%-75%,100%-75%,Como estrategia por si llegaran pedidos extraordinarios,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
177,Industria,Manufacturas diversas de partes de presición para la industria automotriz y automatización,PEQUEÑA,Aguascalientes,AGUASCALIENTES,Materia prima para la producción,Mi proveedor u otra empresa los importa,Solo si mi competencia los sube yo también los subiré,Más del 15% (pasar de 20.00 a más de 23),De inmediato,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Entre 1 y 3 meses,Sí,Busca diferenciarse de la competencia,3,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",100%-75%,100%-75%,100%-75%,No tiene el dinero suficiente para producir más,Aumentan su productividad,Creo que las ventas serán malas y será difícil recuperar la inversión,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
178,Comercio al por mayor,Madera impregnada,PEQUEÑA,Chihuahua,PARRAL,Materia prima para la producción,Mi proveedor u otra empresa los importa,"No pienso en subirlos porque tengo inventarios, hasta que se agoten mis inventarios y haga compras nuevas decidiré subirlos","10%, pasar de 20.00 a 22",Entre 1 mes y 3 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Se quedarán igual,Entre 1 y 3 meses,Sí,Busca diferenciarse de la competencia,3,Si no tengo inventarios y hay un aumento temporal de la demanda subo mis precios,100%-75%,100%-75%,100%-75%,No lo demanda el mercado,Si ellos se organizan y me lo exigen,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
179,Servicios,Mantenimiento a la Minería e industria en general,MICRO,Chihuahua,PARRAL,Todo lo que utilizo se produce en México,Mi proveedor u otra empresa los importa,"No pienso en subirlos porque tengo inventarios, hasta que se agoten mis inventarios y haga compras nuevas decidiré subirlos",15% pasar de 20.00 a 23,Menos de 1 mes,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Se quedarán igual,Entre 1 y 3 meses,Sí,Busca diferenciarse de la competencia,2,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",100%-75%,100%-75%,74%-50%,No lo demanda el mercado,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés no influiría en mi decisión para pedir créditos e invertir más
180,Comercio al por menor,Productos de higiene personal de primera necesidad ,MICRO,Ciudad de México,CDMX,Todo lo que utilizo se produce en México,Mi proveedor u otra empresa los importa,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,"10%, pasar de 20.00 a 22",Entre 1 mes y 3 meses,Un porcentaje mayor al de la devaluación o al que le subió el precio el proveedor,Bajarán,"Más de 3, pero menos de 6",Sí,Mejora sus estrategias de publicidad,3,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,49%-25%,100%-75%,100%-75%,No tiene el dinero suficiente para producir más,Aumentan su productividad,"Aunque creo que las ventas serían buenas, no tengo el dinero suficiente para invertir",Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
181,Industria,BOLSA DE PLASTICO (POLIETILENO) QUE ARBITRARIAMENTE PROHIBIERON Y QUE ESTA DEJANDO A CIENTOS DE MILES DE PERSONAS SIN EMPLEO Y EMPRESARIOS QUE ESTAMOS PERDIENDO NUESTRO PATRIMONIO DE AÑOS,MICRO,Guanajuato,LEON,Todo lo que utilizo se produce en México,Mi proveedor u otra empresa los importa,"No pienso en subirlos, prefiero ganar menos por producto, pero no perder ventas",Más del 15% (pasar de 20.00 a más de 23),Entre 1 mes y 3 meses,Un porcentaje menor al de la devaluación o al que le subió el precio el proveedor,Bajarán,Menos de un mes,Sí,Busca diferenciarse de la competencia,1,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",74%-50%,100%-75%,74%-50%,No lo demanda el mercado,Aumentan su productividad,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés no influiría en mi decisión para pedir créditos e invertir más
182,Industria,piel curtida y acabada,MEDIANA,Guanajuato,LEON,Materia prima para la producción,Mi proveedor u otra empresa los importa,Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,"5%, es decir pasar de 20.00 a 21",Menos de 1 mes,Un porcentaje mayor al de la devaluación o al que le subió el precio el proveedor,Bajarán,Entre 1 y 3 meses,Sí,Busca diferenciarse de la competencia,1,"Si hay un aumento temporal de la demanda NO subo mis precios, aunque no tenga inventarios pues la gente podría ir a comprar a la competencia",100%-75%,100%-75%,100%-75%,No tiene el dinero suficiente para producir más,Aumentan su productividad,Creo que las ventas serán malas y será difícil recuperar la inversión,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
183,Industria,contenedores de plástico inyectado para toda la industria,GRANDE,Guanajuato,LEON,Materia prima para la producción,Mi empresa los importa (incluye a través de agencias aduanales),Esperaré a ver si la devaluación o el nuevo precio de mi proveedor es persistente y si lo es entonces subiré mis precios,"10%, pasar de 20.00 a 22",Menos de 1 mes,Un porcentaje mayor al de la devaluación o al que le subió el precio el proveedor,Se quedarán igual,Entre 1 y 3 meses,Sí,Busca diferenciarse de la competencia,4,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,100%-75%,100%-75%,No lo demanda el mercado,Aumentan su productividad,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
184,Industria,MASCARAS PLASTICAS PARA EL PROCESO DE PINTURA AUTOMOTRIZ,PEQUEÑA,Guanajuato,IRAPUATO,Materia prima para la producción,Mi empresa los importa (incluye a través de agencias aduanales),"No pienso en subirlos porque tengo inventarios, hasta que se agoten mis inventarios y haga compras nuevas decidiré subirlos","5%, es decir pasar de 20.00 a 21",Entre 1 mes y 3 meses,El mismo porcentaje que se devaluó la moneda o le subió el precio su proveedor,Bajarán,Entre 1 y 3 meses,Sí,Busca diferenciarse de la competencia,3,Si hay un aumento temporal de la demanda y tengo inventarios no subo mis precios.,100%-75%,100%-75%,74%-50%,No tiene el dinero suficiente para producir más,Aumentan su productividad,Las reglas y leyes en México no me dan confianza,Si los bancos bajaran su tasa de interés estaría dispuesto a pedir más crédito e invertir más
